pkg_name,sha256,vercode,with_iot_lib
ag.strider.protector,4AD50388011F2AFD4D6A6A8A81BBC04D27A62B54F75A842CE01C19B02FCBB57C,27044647,0
com.climax.homeportal.tw,D6EC7657BF73FDF1B765B09AD7A6BCBDC68BA5FD99578235FF341AD92B100B34,146,1
com.fuho.vacronviewer,D44DEF3E37A77ED7817D54FDF3A22EA0D6D8AAA404390A5DCE6058E535177ABC,271,1
com.limebike,F4C00D5B712BB5C80FB2332202960C6DF164AC9A2CF151192735157178BE9874,1202,0
com.hgmelectronics.setup.cs,3C741DF0297F3D065454E29A194E8F6B11560236923A41269AB10237583CBCC8,20604,0
ccc71.bmw,6011CDBF27F0A37C243D217FC56FE8782002A3F7FFF11F1B433D37AC015949EE,40153,0
au.com.tain.tierra,4CD89DA5F92084277460381E20D6678111930EAE114FD077D60BB5079FF7542F,1061108,0
com.mb.android,8C053266967696F3E7652DFA94E093EA317EA9100BBBA25492DD803E8ED74428,300001943,0
com.etop.bvf,5834E12C51EC49DDFF20E689987CC45853697CFED3034319DCA27A289FB0D6AE,20,1
com.logmor.ltesmartplug,000406BC8F1883AF3436536BE1887FFEFBBD56782A5245AA62DA2343C90969DD,21,1
com.simshine.aiot,15003060C8C917BF17F987B577AB11F16D5C25EA1FB65245C5A37DCC054499CC,137,1
com.exfo.cmax2.mobile.android,0005394CA712861BA3064A1AA693BC37E5092A22FA43F52DED3706EDE452282F,2111602,0
com.mobiprintpro.retail.android,F956AD9817C5445424506C9B0474D5A24A28470BC0F2AA5394105944D8A3B955,82,0
com.printheaddoctor.phd,5F44B5A605AED15AD01670C0B6702B5AD725DA0E276F8C9FAD9D19F6732E68AA,68,0
com.ezlogz.ezlogz,CE8CE4CE8B24C4A57B85279775DA63AD1A41BA1D523D00DAFA221F172B1F5893,995,1
io.appsly.stepper,D28E503EC82A42A8DEB423E02A17E8CF6862454D7E9F5FA7F957F1A9344BB623,20,0
com.bluefire_llc.global.trucks,2F0EDE7338B0DB353603208FE3214BD267A3C9DA5542B034239F90899151020F,114,0
com.etakescare.tucky,E41A4BCC40A9D372B4541DA408F1184DBFC2BB41F75C5B781D9121280BA268EA,113,1
com.powercruisecontrol.i3,0A923F4EEE38BF864CE39A04A870C634EF56C91E9153737CAD054B5F59BEEC22,201,0
com.izotope.spire,E1F4464E067D6F05D590F2FB6F54743BB4F3E72E6518B1404464C7AC71029CE8,300006137,1
jp.co.canon.oip.android.opal,958EFE1EF30D64F16CC6A53837FD50265022FC949A28B3184B2856400A55C0DF,7004002,0
org.qtproject.NMEA_kit,000886315343966D9917C8825EECBCA40B8887AAF7D7848FD06615ABBD6598BA,16,1
ir.remote.control.samsung.smart.tv.wifi,BA4223AADD015CE23180CA02C3C4D7722152043CED31C45122461B6C9E3343ED,47,1
com.amazon.aws.console.mobile,AEAD51B9A7E5E1682FA4F945CCB1EF8E265416E3A3DC06B90A28F6EDF8B25F7E,1912000090,0
ee.rautsik.simpletvremotecontrol,A66013EAF8141C657526218B645BE1A70BDEFBD42B897DF7440BB44680AEBFCF,7,0
com.infinix.xlife2,B5EEA55AD5D3B58211EE25EC97A1364E785A6DE4395CB24BD8CFA9DEE9CE5EB2,207,0
com.yaoertai.safemate,E64B9079286796DEDC0FC652BFB28B152AB21833A2B5C140A5DE570C7C4EB9A7,52,1
com.apsemaappforandroid,0A581AA6D2A090EFE842AF22B3F660071BE6855BACADD4D0BB604523A0CAA75F,21,0
com.meross.meross,2B6A3881DF95F767A72A4616FCD314D5E9C109B08DC2222FF08155A189953320,470,1
com.ivideon.client,4DDD754728696629C2E02D8599408C5E2389FD54DDE761DD165E355BA6DA0EA0,2228,0
com.medm.telemediq.diary,000C9305661ED87035D05C6E88CDFA42692966CD1B249F97B4419CBEA8749634,6,1
com.imsmart.devices,969651678FA7C571F9DBDEFFC8D2647E6D865281CA95DC253BB80D95ACD93990,269,0
